,School,Gender,Role,Citations,Earliest_Pub,Citations per year,Field_1,Field_2,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,Yale University,Male,Professor,3311.0,1996.0,137.9583333,Probability theory and stochastic processes,,,,,,,,,,,
1,Yale University,Male,Professor,7525.0,1964.0,134.375,Fourier analysis,,,,,,,,,,,
2,Yale University,Male,Professor,4173.0,1974.0,90.7173913,Numerical analysis,,,,,,,,,,,
3,Yale University,Male,Professor,2529.0,1991.0,87.20689655,Partial differential equations,,,,,,,,,,,
4,Yale University,Male,Professor,3429.0,1980.0,85.725,Nonassociative rings and algebras,,,,,,,,,,,
5,Yale University,Male,Professor,1801.0,1990.0,60.03333333,"Statistical mechanics, structure of matter",,,,,,,,,,,
6,Yale University,Male,Professor,1562.0,1992.0,55.78571429,"Information and communication, circuits",,,,,,,,,,,
7,Yale University,Male,Professor,1725.0,1989.0,55.64516129,Manifolds and cell complexes,,,,,,,,,,,
8,Yale University,Male,Professor,1843.0,1978.0,43.88095238,Functions of a complex variable,,,,,,,,,,,
9,Yale University,Male,Professor,1436.0,1981.0,36.82051282,Number theory,,,,,,,,,,,
10,Yale University,Male,Professor,466.0,2005.0,31.06666667,Nonassociative rings and algebras,,,,,,,,,,,
11,Yale University,Male,Professor,529.0,2001.0,27.84210526,Quantum theory,,,,,,,,,,,
12,Yale University,Male,Professor,625.0,1992.0,22.32142857,Manifolds and cell complexes,,,,,,,,,,,
13,Yale University,Male,Professor,1003.0,1972.0,20.89583333,Relativity and gravitational theory,,,,,,,,,,,
14,Yale University,Male,Professor,556.0,1975.0,12.35555556,"Topological groups, Lie groups",,,,,,,,,,,
15,Yale University,Male,Professor,40.0,2011.0,4.444444444,Number theory,,,,,,,,,,,
16,Yale University,Male,Professor,94.0,1988.0,2.9375,Quantum theory,,,,,,,,,,,
17,Yale University,Male,Professor,17.0,1994.0,0.653846154,"Classical thermodynamics, heat transfer",,,,,,,,,,,
18,Yale University,Female,Professor,678.0,1996.0,28.25,"Topological groups, Lie groups",,,,,,,,,,,
19,West Virginia University,Male,Professor,1276.0,1987.0,38.66666667,Combinatorics,,,,,,,,,,,
20,West Virginia University,Male,Professor,872.0,1981.0,22.35897436,Combinatorics,,,,,,,,,,,
21,West Virginia University,Male,Professor,365.0,1998.0,16.59090909,Combinatorics,,,,,,,,,,,
22,West Virginia University,Male,Professor,625.0,1978.0,14.88095238,Real functions,,,,,,,,,,,
23,West Virginia University,Male,Professor,344.0,1981.0,8.820512821,Partial differential equations,,,,,,,,,,,
24,West Virginia University,Male,Professor,300.0,1982.0,7.894736842,Partial differential equations,,,,,,,,,,,
25,West Virginia University,Male,Professor,206.0,1983.0,5.567567568,Combinatorics,,,,,,,,,,,
26,West Virginia University,Male,Professor,123.0,1975.0,2.733333333,Ordinary differential equations,,,,,,,,,,,
27,West Virginia University,Male,Professor,97.0,1984.0,2.694444444,Combinatorics,,,,,,,,,,,
28,West Virginia University,Male,Professor,85.0,1981.0,2.179487179,Statistics,,,,,,,,,,,
29,West Virginia University,Female,Professor,3.0,1995.0,0.12,Combinatorics,,,,,,,,,,,
30,Wayne State University,Male,Professor,6186.0,1970.0,123.72,Calculus of variations and optimal control; optimization,,,,,,,,,,,
31,Wayne State University,Male,Professor,3296.0,1987.0,99.87878788,Probability theory and stochastic processes,,,,,,,,,,,
32,Wayne State University,Male,Professor,1879.0,1991.0,64.79310345,Numerical analysis,,,,,,,,,,,
33,Wayne State University,Male,Professor,482.0,1996.0,20.08333333,Category theory; homological algebra,,,,,,,,,,,
34,Wayne State University,Male,Professor,604.0,1984.0,16.77777778,Nonassociative rings and algebras,,,,,,,,,,,
35,Wayne State University,Male,Professor,713.0,1974.0,15.5,Partial differential equations,,,,,,,,,,,
36,Wayne State University,Male,Professor,231.0,2004.0,14.4375,Numerical analysis,,,,,,,,,,,
37,Wayne State University,Male,Professor,708.0,1967.0,13.35849057,Algebraic geometry,,,,,,,,,,,
38,Wayne State University,Male,Professor,339.0,1989.0,10.93548387,Algebraic topology,,,,,,,,,,,
39,Wayne State University,Male,Professor,194.0,1984.0,5.388888889,Algebraic geometry,,,,,,,,,,,
40,Wayne State University,Male,Professor,208.0,1973.0,4.425531915,Algebraic topology,,,,,,,,,,,
41,Wayne State University,Male,Professor,110.0,1975.0,2.444444444,Group theory and generalizations,,,,,,,,,,,
42,Wayne State University,Male,Professor,49.0,1982.0,1.289473684,Functions of a complex variable,,,,,,,,,,,
43,Wayne State University,Male,Professor,31.0,1973.0,0.659574468,Several complex variables and analytic spaces,,,,,,,,,,,
44,Wayne State University,Female,Professor,330.0,1998.0,15.0,Algebraic topology,,,,,,,,,,,
45,Washington University in St. Louis,Male,Professor,3206.0,1974.0,69.69565217,Several complex variables and analytic spaces,,,,,,,,,,,
46,Washington University in St. Louis,Male,Professor,478.0,2005.0,31.86666667,Fourier analysis,,,,,,,,,,,
47,Washington University in St. Louis,Male,Professor,820.0,1989.0,26.4516129,Operator theory,,,,,,,,,,,
48,Washington University in St. Louis,Male,Professor,759.0,1989.0,24.48387097,Statistics,,,,,,,,,,,
49,Washington University in St. Louis,Male,Professor,278.0,2003.0,16.35294118,Algebraic geometry,,,,,,,,,,,
50,Washington University in St. Louis,Male,Professor,376.0,1996.0,15.66666667,Combinatorics,,,,,,,,,,,
51,Washington University in St. Louis,Male,Professor,271.0,2002.0,15.05555556,Differential geometry,,,,,,,,,,,
52,Washington University in St. Louis,Male,Professor,235.0,2000.0,11.75,Statistics,,,,,,,,,,,
53,Washington University in St. Louis,Male,Professor,316.0,1986.0,9.294117647,Differential geometry,,,,,,,,,,,
54,Washington University in St. Louis,Male,Professor,238.0,1985.0,6.8,"Information and communication, circuits",,,,,,,,,,,
55,Washington University in St. Louis,Male,Professor,246.0,1977.0,5.720930233,Algebraic geometry,,,,,,,,,,,
56,Washington University in St. Louis,Male,Professor,163.0,1989.0,5.258064516,Dynamical systems and ergodic theory,,,,,,,,,,,
57,Washington University in St. Louis,Male,Professor,41.0,2003.0,2.411764706,Statistics,,,,,,,,,,,
58,Washington University in St. Louis,Male,Professor,18.0,1965.0,0.327272727,Group theory and generalizations,,,,,,,,,,,
59,Washington University in St. Louis,Female,Professor,194.0,1992.0,6.928571429,Manifolds and cell complexes,,,,,,,,,,,
60,Washington State University,Male,Professor,842.0,1988.0,26.3125,Partial differential equations,,,,,,,,,,,
61,Washington State University,Male,Professor,531.0,1987.0,16.09090909,Linear and multilinear algebra; matrix theory,,,,,,,,,,,
62,Washington State University,Male,Professor,284.0,1978.0,6.761904762,Systems theory; control,,,,,,,,,,,
63,Washington State University,Male,Professor,156.0,1993.0,5.777777778,Partial differential equations,,,,,,,,,,,
64,Washington State University,Male,Professor,120.0,1982.0,3.157894737,Numerical analysis,,,,,,,,,,,
65,Washington State University,Male,Professor,94.0,1986.0,2.764705882,Fourier analysis,,,,,,,,,,,
66,Washington State University,Male,Professor,81.0,1985.0,2.314285714,Statistics,,,,,,,,,,,
67,Washington State University,Male,Professor,73.0,1967.0,1.377358491,Geometry,,,,,,,,,,,
68,Washington State University,Male,Professor,2.0,1989.0,0.064516129,Other,,,,,,,,,,,
69,Washington State University,Male,Professor,1.0,1976.0,0.022727273,Statistics,,,,,,,,,,,
70,Washington State University,Female,Professor,471.0,1987.0,14.27272727,Linear and multilinear algebra; matrix theory,,,,,,,,,,,
71,Washington State University,Female,Professor,0.0,1996.0,0.0,Other,,,,,,,,,,,
72,Virginia Polytechnic Institute and State University,Male,Professor,1796.0,1998.0,81.63636364,Numerical analysis,,,,,,,,,,,
73,Virginia Polytechnic Institute and State University,Male,Professor,694.0,2001.0,36.52631579,Systems theory; control,,,,,,,,,,,
74,Virginia Polytechnic Institute and State University,Male,Professor,781.0,1997.0,33.95652174,Linear and multilinear algebra; matrix theory,,,,,,,,,,,
75,Virginia Polytechnic Institute and State University,Male,Professor,883.0,1991.0,30.44827586,Combinatorics,,,,,,,,,,,
76,Virginia Polytechnic Institute and State University,Male,Professor,549.0,1999.0,26.14285714,Combinatorics,,,,,,,,,,,
77,Virginia Polytechnic Institute and State University,Male,Professor,513.0,1998.0,23.31818182,Fluid mechanics,,,,,,,,,,,
78,Virginia Polytechnic Institute and State University,Male,Professor,771.0,1985.0,22.02857143,Numerical analysis,,,,,,,,,,,
79,Virginia Polytechnic Institute and State University,Male,Professor,664.0,1989.0,21.41935484,Partial differential equations,,,,,,,,,,,
80,Virginia Polytechnic Institute and State University,Male,Professor,692.0,1986.0,20.35294118,Partial differential equations,,,,,,,,,,,
81,Virginia Polytechnic Institute and State University,Male,Professor,320.0,2004.0,20.0,Fluid mechanics,,,,,,,,,,,
82,Virginia Polytechnic Institute and State University,Male,Professor,615.0,1981.0,15.76923077,Partial differential equations,,,,,,,,,,,
83,Virginia Polytechnic Institute and State University,Male,Professor,426.0,1991.0,14.68965517,Numerical analysis,,,,,,,,,,,
